asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
desk 130,0,0,0,0,0,75.17,0,70.93,87.91,59.74,87.05,0,27.17,0,0,68.66,81.65,56.14,64.3,72.63,82.1,80.17,56.42,0,62.9,88.21,0,71.84,79.52,0,83.17,87.98,52.97,66.34,70.5,87.93,76.67,73,0,55.17,0,72.86,0,69.84
desk 157,0,77.83,79.5,84.34,64.84,81.86,82.85,79.67,100,0,76.83,74.67,72.99,69.5,72.67,81.47,81.46,79.79,36.83,0,0.33,79.84,82.94,32.17,0,82.08,41.33,58.24,0,0,78,68.55,81.55,68,0,77.83,75.5,79.84,64.67,0,60.17,81.5,74.33,0
2.krs Desk 3,0,69.17,68.17,71.83,67.17,0,0,0,80.29,69,81.14,48.5,78,75,36.83,61.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.29,41.13,55.63,82.13,0,0,0,0,0
desk 102,0,81.67,54.34,80.5,77.5,76.84,48.67,64.19,14.33,41.84,83.34,40,56.5,42.33,36.17,0,77.84,0,0,0,2.17,80.5,78.67,1.83,0,81.67,83,74.17,0,0,80.5,76.17,0,75.17,0,0,81.17,78,80.17,0,0,60.5,57.84,0
Desk 59,0,0,44,16.83,0,0,0,14.33,0.33,30.33,33.76,2.76,13,75.83,0.5,43.66,46,0,51.83,44.17,0,0,38.67,63.5,0,0,48.5,0,0,5.67,0,11.83,0,0,0,60.83,0.33,50,15.83,81.33,22,81.17,61,85.17
DEsk 34,0,0,0,0,0,0,0,0,0.5,0,0,49.16,1.67,10.17,0,0,27.5,0,0,0,1.17,75.01,0,14.36,0,43.67,0.5,0,0,0,0,0,0,0,0,78.78,72,72.83,24.83,0,0,0,0,0
Desk 66,0,91.52,88.84,87.67,85.17,88.64,66.17,91.96,87.63,74,55.1,90.43,38.42,83.83,73.5,94.83,87,93.88,86.34,60.5,88.85,89.18,49.84,82.84,63.17,75.83,57.13,83.83,85.67,87.5,93.09,88.25,88.08,76.67,66.5,69.71,90.88,89.54,76.17,83.84,88.17,89,87.99,84.48
DEsk 28,0,0,0,0,0,0,88.83,76.17,0,0,0,69.67,63.83,0,0,0,0,0,0,0,0,0,69.14,0,0,54.16,50.99,78,84.67,39.67,72.83,0,47,0,0,85.2,31.67,55.83,13.83,23.38,78.17,69.83,76.5,0
Desk 51,0,79.17,58.5,82.33,81.17,5.5,79.16,75.5,85.33,55,80.16,81.16,81.66,81.66,79.16,82.83,89.04,50.5,90.5,77.83,53.67,85.83,63.91,73,91.16,29.66,82.66,86.83,80.83,44.67,80.67,47.83,80.83,31.5,0,0,75.5,60.83,8.17,72.33,0,77.66,83.17,54.67
Desk 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,0,0,0,0,0,0,76.67,0,14.17,0,0,0,0,0,0,0,0,61.67,0,0,0,0,0,0
