asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
desk 154,0,0,85.67,76,63,76,78.84,38.67,89.34,0,17.67,82.97,47.79,73.67,43.01,0,84.75,74,21.74,1.17,0,41.5,89.03,87.69,0,0,44.67,86.97,85.3,0,0,64.26,43.17,78,0,45.34,0,83.21,87.2,0,10.67,59.49,85.99,88.81
2.krs Desk 9,0,0,0,0,0,77.75,49.84,84.9,61.89,82.34,47.67,54.84,39.19,0,44.34,51.67,30.34,20.17,9.5,26.29,28.33,0,0,0,0,0,0,0,0,68.5,25.83,0,0,0,0,0,0.33,1,0,0,0,0,0,0
desk 119,0,45,56.98,82.65,0,35.67,11.17,47,0,85.5,82.83,0,32.83,78.85,85.33,35.7,69.7,43.33,81.33,41.33,84.33,16,0,31.5,16.83,81.83,69.76,42.5,37.83,1.83,0,61.26,27.83,0,0.83,72.17,81.83,44,42.84,0,86.67,61.5,84.5,44.33
desk 114 ,0,0,77.34,76.24,0,79.54,0,80.84,55.01,55.34,82,63.84,0,75.67,89.67,77.5,85.27,41.17,82.09,80.41,76.23,86.34,0,0,0,67,82.84,77.83,66.84,69.5,79.46,81.45,33,60.1,12.33,28.5,86.17,75.67,77.67,0,76.17,50.33,56.01,79.84
desk 105,0,0,0,0,0,0,55.67,60.83,49.83,0,0,78.17,69,0,75.67,0,79.67,0,0,0,69.5,0,83.18,63.17,0,81,81.17,78.5,0,0,0,83.67,0,30.67,0,0,76.33,47.17,81,0,76.5,72.67,0,0
Desk 61,0,0,62.17,82.33,78.17,76.83,76.5,56.67,83.33,45.33,81.16,50.83,50.67,50.33,54,77.33,0,59.33,79,84.67,0,3,82.81,58.16,0,86.33,81.33,77,78.83,73.83,0,75.5,0,0,0,59.17,59,44.05,81.33,82,1.83,8.33,1,0
DEsk 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,77.33,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0
Desk 65,0,0,87,91,0,80.33,52.33,59.23,83.33,74,86.75,0,0,78.83,0,79,0,26.17,81,0,0,0,63.35,75.52,0.5,0,0,86.49,0,0,82,89.5,0,81,18.17,79.83,0,83.13,51.33,0,0,79.16,80.66,0.83
DEsk 14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.11,47.66,0,11.83,84.83,1,0,41.83,0,0,1,51.5,0,30.33,61,0,45.5,0,0,49,81.83,85.67,84,53,71.17,82.5,82.33,52.33
Desk 57,0,73.51,29.46,80.34,59.34,85.17,71.83,0,88.67,26.83,95.38,100,80.67,82,0,0,87.9,88.33,83.67,80.17,88.2,0,89.35,80.83,10.67,21.17,72.17,72,54.83,24.5,25.84,84.67,24.67,66.34,0.33,0,45.17,82.34,79.67,76,82.5,0,75.82,0
Desk 23,0,0,0,0,0,0,81.83,56.67,37.82,0,0,82.17,84.33,69.33,0,0,80.83,81.5,79.83,0,0,82.5,83.33,83.17,0,0,81.17,81.66,43,0,0,87.85,58.83,82.17,0,0,75.17,83.33,74.5,0,0,79.67,81.83,80.5
Desk 84.2,0,86.59,85.51,87.58,82.23,80.54,72.54,42.67,70.84,80.01,83.99,81.32,73,85.97,80.29,77.17,78.93,71.5,69.75,79.74,86.23,87.55,58.67,85.34,87.19,79.5,75.66,86.82,81.98,69.47,85.12,79.45,72.5,90.1,83.09,83.57,78.89,88.72,87.34,84.04,81.5,87.51,80.83,86.33
Desk 20,0,0,0,0,0,0,25.83,34.31,38.64,0,38.28,53.44,50.43,0,0,0,37.55,37.05,53.87,0,0,0,88.17,0,0,0,38.13,44.28,48.44,0,0,0,0,0,0,0,0,53.17,63.16,0,0,37.83,69.14,65.3
DEsk 92,0,0,0,0,0,0,0,38.83,1.36,0,0,0,3.67,0,0,0,30.83,9.83,0.67,0,0,10.42,57,0,0,0,0,74.67,0,0,0,0,0,39.5,15,0,0,0,46.33,0,0,43.67,27.33,0
desk 149,0,0,0,0,0,68.01,79.01,0.67,79.83,1.33,0.5,0,0,0,0,0,0,0,79.76,40.5,0,39.66,0,51.16,57,0,79.5,61.17,69.5,64,0,0,8.5,0,18.67,68.67,22.67,59.83,59.56,74.67,34.17,0,80.26,80.1
desk 133,0,86.34,69.34,79.84,75.34,0,24,79.67,5.5,79.67,3.17,0,79.83,0,0,0,8.17,79,0,86.67,0,0,0,0,0,0,37.67,0,0,75.5,0,80,0,0,83.01,0,0,79.84,0,77.84,0,0,0,0
2.krs Desk 6,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,27.17,0,0,0,0,0,22.34,0,0,0,0,0,0,12.67,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,30.96,0
desk 120,0,0,0,30.5,0,58.33,33.5,14.33,0,0,36.5,20.67,68.17,0,28.83,48,89.5,37.38,1.67,16.17,0,38.83,25.5,0,0,0,77,45.33,0,34,0,51.5,78,0,10.5,0,11.17,25.33,0,0,77.33,69.33,0,61.83
desk 129,0,0,31.67,0,0,0,52.66,1.33,0.67,85.84,81.34,81.17,75.17,0,79.67,49,76.34,74.67,78.84,75.34,2,100,92.86,76.17,0,83.01,88.2,81,58.34,0,0,49,0,47.67,70.34,80.17,85.51,72.01,82.84,65.34,82.89,78.27,78.43,84.17
DEsk 44,0,77,0,0,0,0,80.17,81.17,76.33,0,40.67,59.16,56.5,54.16,0,49.67,55.5,0,51,0,84.83,80.83,84.17,0,14.5,80.17,74.33,76.5,59.83,38.67,55,0,0,78.33,0,80.83,52.83,79.33,0,74.83,0,82.33,80.67,70.33
Desk 58,0,0,10.83,80.83,0,0,0.5,0,2.33,29.21,47.66,0,0,19.16,7.17,0.33,0,59.57,78.83,0,0,49.5,1.67,6.17,0,0,12.83,19.17,51.33,0,0,51,0,36,17.83,33.5,31.5,81.17,26.67,36,0,0,63.34,3.83
Desk 69,0,0,0,0,0,0,0,80.7,74.67,0,24.17,0,0,75.5,0,0.5,0,28.83,65.17,0,0,0,35.67,0,0,0,0,0,47.67,0,0,0,0,0,0,0,0,54,38.5,0,0,0,0,0
DEsk 13,0,0,30.17,0,0,0,0,0,0,0,0,0,0,20.33,0,0,49.17,78.78,46.44,78.44,79.75,78.74,74.67,79.56,79.06,78.53,50.17,73.69,41.84,0,0,0,0,0,0,48.67,81.67,85.34,84,0,84.55,82.17,81.67,0
Desk 54,0,0,0,38.84,13.5,58,0,0,69.34,62.5,1,67.67,27.67,72.67,0,51,60,74.83,27.17,0,49.48,5.5,81.34,75.84,79.17,0,0,47.34,73.67,31.12,21,31.5,30.67,75.34,0,83.84,16,38.5,0.33,0,0,29.83,69.88,0
Desk 24,0,0,0,0,0,0,0,49.33,0,0,0,0,73.67,0,0,0,0,55.67,0,0,0,0,77.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.17,0,0,0,0,65.17,0
Desk 75,0,0,58.5,0,0,40.5,53.17,0,16.67,0,31.17,60.33,80.5,55.67,0,31.83,64.83,27.17,0,0,13,58,0,42.5,67.67,48.33,46,36.16,15.5,0,58,79.84,0,59.67,54.5,80.5,55.67,17.67,6.67,0,40.67,0,0,0
Desk 86,0,0,0,0,17,72.67,0,55.5,0,0,0,0,51.33,19.66,13.33,9.17,36.17,18.5,0,0,0,0,3.33,0,50.33,22.33,0,0,0,0,0.33,0.5,0.33,0,0,6.5,2,0,78.89,0,0,0,0,37.34
desk 152,0,0,0,0.33,0,0,6.67,0,57.84,0,0,16,13.67,4,15,29.33,79.34,52.67,21.5,3,0,0,0,69.67,0,0,0,31.83,0,0,0,0,40.17,0,0,0,0,0,0,0,0,0,0,0
2.krs Desk 5,0,77.35,78.5,77.68,0,67.84,0,52.33,66.34,0,64.5,69.17,62.67,0,0,0,0,0,0,0,74.34,0,59.84,62.67,0,68,55.5,73.34,67,0,78.67,62.34,44.17,0,64.67,77.01,69.34,19.33,0,64.17,0,0,0,0
desk 118,0,0,0,58.67,0,31.33,35.8,85.01,0,8.94,0,73.34,23.34,20.67,0,2.17,34.17,60.86,53.17,17.17,78.17,19.17,41.17,43.67,0.5,56,85.61,68.17,42,0,0,64.06,74.01,82.5,28.21,51.83,88.85,64.34,70.17,0,39.33,87.01,86.34,0
desk 127,0,0,0,0,0,0,0.33,0,75.5,45.5,0,92.55,78.54,75.67,0,16.34,66.67,80.34,59,0,0,86.34,69.67,0,0,0,80.51,78.21,16.83,0,0,75.67,0,0,0,0,12.17,26.67,0,0,29.83,46,0,0
Desk 42,0,0,0,0,0,0,2,10,0,0,0,11.33,0,0,0,0,3.67,0,0,0,0,0,1,0,32,26.33,2.33,0.83,0,0,0,0,0,0,0,0,81.85,79.03,0,3.17,0,0,0,0
Desk 61.4,0,0,48,0,0,0,64.84,44.67,47.67,0,0,59.5,67.83,66.83,37.33,0,3.17,42.17,58.67,0,0,68.84,74,51.17,0,0,55,57,0,0,0,40.67,67.5,0,0,0,45.67,37.67,38.34,0,0,0,0,0
DEsk 40,0,0,76.33,77.67,0,0,79,80.33,80,0,0,0,0,0,26.17,41,48.5,32,78.67,0,0,80.13,37.83,0,0,0,79.17,80.67,77.67,0,0,77,76.17,76,0,0,59.7,79,79.5,0,0,78.17,77.67,39.17
Desk 64,0,24,0,9.17,0,0,17.33,62.13,52,0.33,87.83,0,33,87.17,33.84,89,43.5,65.17,65.34,0,82.67,23.64,30,82,0,27.33,0,56.34,33,0,1,7,0,0,0,90.66,44.34,65.81,76.84,0,61.67,77.51,0.33,82.34
Desk 22,0,0,72,79.5,0,0,81,52.67,75.5,0,0,76.67,55.83,76.33,0,0,72.83,60.83,74.83,0,0,78.94,79.83,78,0,0,0,61.5,75.5,0,0,78.67,65.14,84.14,0,0,79.33,78.33,75,0,0,0,74.17,79.5
Desk 56,0,73.84,11.83,81.34,76.84,30.16,5.17,0,60.86,0,23,78.67,43.16,0,0,84.33,61.83,73.67,81,46.5,67.34,26.67,59,88.39,42.16,69.03,0,70.5,87.5,59,77.34,90.5,81.83,79.17,79.34,0,0.33,83.84,80.17,76.5,52,38,0,85.84
Desk 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.83,0,0,1,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
desk 78,0,0,0.5,0,0,0,0,1.83,0,0,0,12.17,0,0,0,0,0,3.67,5,71.56,0,0,0,0,0,0.5,0,38.67,29.5,0,0,0,0,0.67,0,0,0,17.34,0.83,0,0,0,0,4.5
Desk 87,0,79,0,66.34,78.67,79.34,65.5,19.67,80.17,0,73.33,15,76.67,54.5,79.5,68,0,0,0.33,0,0,0,0,0,0,0,0,0,1.67,0,0,0,12.5,15.17,0.67,0,0,0,38.5,0,23.17,28.17,29.08,3
2.krs Desk 2,0,0,0,0,0,0,0,1.83,0,70.67,76.83,74.34,74.67,0,45.5,0,83.67,0,44.67,63,80.51,15,77,0,65.5,73.34,83.17,0,0,0,45.67,0,38.67,0,81,82.34,77.34,0,0,0,82.3,0,0,82.61
desk 117,0,0,0,77.5,59.5,0,30.33,26.31,0,0,0,0,33.33,7.33,0,0,73.17,69.33,51.5,0,77.17,77.83,0,9.17,0,0,26,6.83,0,0,0,0.83,41.67,1.5,0,0,27.33,45.67,0,0,0,76.83,85.34,58.18
desk 128,0,22,0,0,0,0,45.17,78.17,17.5,77.84,0,75.84,86.67,0,22.84,6.5,77.84,72.84,28.5,0,0,41,0,76.88,77.37,0,77.84,67.34,57,0,44.17,79.39,76.6,7.33,0,78.39,85.84,83.84,0,0,77.33,82.67,80.34,0
Desk 43,0,79.83,0,79.67,0,79.83,79.5,79.17,74.83,0,80.5,80.16,5.33,13,57.17,79.67,78.79,72.5,0,0,69.67,48.49,24.67,80.67,85.33,80.5,96.36,74.67,88.99,0,80.5,0,75.17,60.33,0,80.91,88.59,79.5,82.84,76.67,80,79.17,79.5,0
Desk 61.3,0,0,0,0,0,0,0,0,0,0,26.5,0,76.5,0,47.35,53.84,54.99,38.83,0,0,0,54.5,78.17,47.67,0,44,82.33,0,84.84,56.04,0,49.5,2.67,3.16,0,0,80.8,58.12,79.67,38.67,0,49.75,29.41,68.73
DEsk 32,0,0,0,83.57,0,0,0,4.67,8.67,74.5,0,75.83,78.14,83.67,48.5,78.17,79.01,0,79.02,0,83.88,68.16,20.33,82.83,69,72.5,71.83,65.17,0,60.5,71.17,40.17,77.96,75.33,0,72.17,44.5,32.17,0,0,62.83,0,0,0
Desk 72,0,0,12.17,75.17,0,36.16,0.5,79.67,77.83,0,78.33,86.51,83.01,0,84,5,53.14,83.64,79.17,0,0,0,46.34,47.5,0,81.83,90.24,0,0,0,0.33,0.83,61.17,0,0,46.84,36.34,11.67,45,0,9.33,69.67,0,41
Desk 21,0,79,81.33,81.81,76.47,79.67,78.67,51.28,80,84.11,82.17,79.33,83.83,69.75,75.08,80,79.5,47.83,81.22,76.72,79.17,80.5,83.33,82.17,79,79.33,79.33,78.66,84.49,80,79,79.67,53.67,72.5,78.83,52.83,79.17,80.45,79.17,81.83,79.07,79.83,78.33,81.5
Desk 53,0,71.5,81.67,80.95,0,0.5,86.67,0.33,43,17.17,11,81.33,78.17,92,0,98.51,37.33,56.17,79.67,0,100,82.17,69,53,35.33,44.66,80.83,77.33,83,90.14,9,83.51,69.5,74.84,56.17,47.67,81.17,48.34,47.17,82.34,0,52.84,42.5,75.5
DEsk 1,0,83.86,82.86,0,78.21,0,0,49.5,85.94,58.84,68.5,71.34,89.99,88.16,0,63.5,62.34,72.39,79.84,0,0.33,0,96.95,100,0,63.34,58.5,70,87.17,0,63.84,74.34,62,94.58,0,39.83,71.67,82.01,84.69,0,80.68,71.19,68.51,84.38
desk 79,0,0,81.34,86.46,77.67,80.17,79.5,20.5,75.83,51.16,78.5,0,70.5,75.67,0,79.5,55,84.5,7.83,0,81.84,80.17,49,83,0,81.17,80.5,90.43,82.17,18.5,77.84,82.67,0,80.67,0,0,8.17,80.17,57.33,0,0,0,0,0
2.krs Desk 11,0,76.67,89.99,91.32,79.36,12.67,73.01,47.67,21.92,64.5,31.83,86.17,79.5,56.52,11,83.83,62.15,77,55.5,74,78.6,0,54.17,12.4,43.17,72.17,75.67,15,55.84,39.5,5.67,41.84,40,79,59.11,47.17,45.17,8.17,51.22,28.71,0,0,0,0
2.krs Desk 1,0,62.34,78.34,75.67,0,76.67,69,84.85,82.17,0,0,0,77.84,78.31,60.5,0,0,63.61,84.61,68.34,16.33,0,3.33,26,73,0,17,0.67,54.7,0,56.18,25.84,37.67,26,0.33,2.17,0,0,0,0,0,0,0,0
desk 112,0,86.95,0,0,0,81.74,81.17,66.17,63.01,82.67,78.69,24.33,48.5,84.01,43.16,58.84,85.84,76.17,0.83,81.5,69,84.43,63.92,0,0,34.5,27.5,37.17,58.34,0,69.67,45.67,74.01,68.34,0,0,77.67,56.84,0,67,0,10.67,44.17,88.06
desk 108,0,75.5,90.87,78.84,79,79.34,84.17,16.33,36.5,72.34,73.27,73.28,79.51,83.34,72.17,78,76.65,80.16,68.51,0,76.02,80.36,75,0,0,81.84,69.73,80.84,60,83.5,71.76,76.17,0,0,0,80,69.64,69,56,83.84,80.84,75.52,78.67,0
DEsk 41,0,80,0,0,64.5,79.67,32.83,82,84.33,0,0,57.33,80,35.67,0,0,24.67,0,0,0,81.17,82,0,0,0,0,55.5,0,78.83,47,79.67,82.33,0,0,0,84.5,7.33,45.17,0,80.67,80.67,60.33,0,61.33
Desk 61.2,0,0,0,39.67,2,18.84,35,49.67,15.66,34,35.5,0,68,61.5,23.83,3.33,31.33,37.34,51,37.33,64,55.5,69.5,0,17.17,26.83,15.83,65.67,0,32.5,21.67,65.34,42.67,7.99,28,0,19.17,31,40.17,40.33,11.83,5.33,1.33,48.67
DEsk 31,0,0,0,3.17,0,0,84.39,79.56,0,77.67,68.67,77.33,0,76.17,0,64.79,80,0,82.33,0,69.83,79,74.67,77.67,49,73.83,75.33,74,79,0,76.5,77.5,0,73.67,74.83,78.5,57,41,0,0,0,0,0,0
Desk 71,0,0,0,10.33,0,4.17,80,79.84,78.5,60.66,0.33,0,44.8,79.83,0,0,0,28.84,72.5,0,0,0,84.37,84.17,0.33,0,0.33,2.33,83.17,2.5,73.17,83.17,3.33,0,0.33,0,87.41,78.67,42.83,58.34,85.17,82.67,81.5,13.16
Desk 12,0,0,0,0,0,78.17,85.74,0,74.34,0,55,0.33,54.17,0,0,50.13,68.5,0,6.33,22.84,0.5,0.67,73.34,16.5,0,0,75.17,45,65.51,0,0,25.67,0,0,27.84,0,77.39,51.17,76.51,0,74.5,53.17,27.17,66.67
Desk 52,0,77.67,78.34,79.17,77.34,78.5,82.33,78.67,78,80,78.67,81,78.33,81,90.8,77.17,77.17,78.5,79.17,77.84,77.34,78.5,85.5,82,83.67,73.5,82,82.17,82.84,79.5,80.17,82.83,52.5,64.34,78.67,78.5,78.5,78.17,75.34,78.17,78.17,78.84,78.67,78.5
2.krs Desk 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 111,0,51.16,0,0,0,78.88,76.17,59.05,33,66.83,0,0,54,83.83,0,0,57.17,2.29,35.17,0,78.83,4.67,57,77.5,0,79.5,92.65,77.17,15.53,0,69.5,75.83,77.33,55,0,0,76.09,60.17,0,0,0,7.83,0,50.13
desk 107,0,85.49,0,0,76.66,77.17,61,86.14,38,0,82.83,94.61,73.5,0,62.83,77.5,98.92,80.92,0,75.67,77.17,0,83.55,0,0,74.17,77,61.17,0,0,80.83,91.33,0,73.67,0,58.17,78.83,81.5,70,0,79.17,87.67,65.83,73.33
Desk 46,0,0,39,0,0,0,7.83,0,0,0,0,79.67,74.17,5.17,0,9.84,51,82.5,0,0,41.17,0,63.17,0.67,14.83,0,0,71.84,0,0,49.83,85,6.83,0,0,0,5.17,60,74.34,44.5,0,0,0,0
DEsk 37,0,0,0,37.5,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,0,0.67,0,0,0,0,69.83,0,0,0,0,0,0,0,0,7.17,0,0,0,0,0,0,0
Desk 61.1,0,0,0,0,0,0.5,0,6.17,0.33,0,0,0,77.5,56.33,38.67,0,0,16.67,90.63,54.17,60.43,48,78.34,50.84,0,85.54,78.34,26.16,0,82.34,79.84,50,0,0,73.67,76,58.5,25.83,0,40.17,76.5,80.84,54.5,6
DEsk 29,0,0,79.09,0,76,50.67,0,78.5,73.83,79.67,78.17,0,65.17,56.83,47.17,83.01,69.5,48.85,3,0,26.83,76.38,81.22,71.83,62.56,53.08,6.5,78.42,78.5,0,0,0,0,0,0,32.5,3.67,26.67,75.83,73.49,80.83,0,69,0
Desk 70,0,0,0,79.5,0,81,28.96,94.5,38.66,41.16,50,80.67,83.67,24,0,84.17,51.17,90.51,58.5,15.83,63.34,80.5,73.05,41.66,51.5,40.33,35,65.83,85.34,14.67,0,35.83,0,42.17,33.5,78.67,29.12,0,70.17,60.34,0.83,43.17,0,73.84
DEsk 11,0,0,0,0,0,0.83,0,0,66.5,0,0.33,26,54,56,1.17,62.84,72.5,0,73.84,28.34,57.83,64.84,72.5,75.84,47.33,50,58.34,62.67,53.84,0,0,38,0,0,0,70.84,78.51,76,82,0,11.32,89.36,70.34,73
2.krs Desk 12,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 116,0,92.63,89.34,83.17,0,83.84,41.34,64.67,1.83,0,49.17,55.84,50.34,87.17,65.5,90.24,54.84,81.25,0,41,59.87,78.5,69.51,79.34,0,44,55.67,45.5,31.33,17.33,30.1,76,10.54,33.33,57.67,58.17,65.17,55,60.84,0,0,46.34,45.67,58.34
desk 103,0,78.52,22,45.17,0,0,81.95,80.94,0,18.67,85.01,58.28,77.84,3.83,0,65.17,74.67,0,0,80.5,82.26,77.76,80.58,0,0,84.86,20.33,55,0,81.84,72.84,74.84,0,63.84,31.67,60.06,60.33,67.84,83.7,58.67,0,80.66,78.98,78.3
Desk 47,0,81.67,42.17,63.67,77,70.17,65.17,0,0,0,61.5,0,0,13.5,0,0,0,95.32,55.17,0,40.17,18.67,76.17,68.12,34.5,49.17,62.67,0,9.17,84.67,79.21,76.34,0,64.67,72.84,75.67,20.83,49.5,32.17,27.67,0,0,0,78.25
DEsk 39,0,0,0,0,0,76.83,0,0,0,0,0,0,0,0,79.67,77,90.5,83.17,89,68.17,88,68.17,81.67,0,0,66.33,39,87.33,55.33,75.67,85.17,0,0,0,83,85.5,93,65.88,79.83,89,0,0,0,0
Desk 62,0,52.63,40.67,82.97,24.33,48,20.17,45.17,57.99,27.18,49,62.5,41.16,66.83,72.33,48.07,19.33,43.16,48.08,14.5,50.83,49.33,35.78,50.67,14.33,27.5,0,68.17,31.67,25.99,48.68,50.5,34.85,67.36,0,33,62,45.5,71,45.83,48.17,54,43.76,0
DEsk 30,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,29,10,0.67,0,0.5,0.67,0,1,0,0,0,0,0,0,0,0.33,0,0,0,0,39.83,0,47.83,0,0,0,76.5,77.17
Desk 73,0,0,78.84,0,0,31,82.67,83.33,91.09,53.5,52.17,0,40.33,88.38,44.5,12.5,35.5,87.5,19.67,0,0,86,29.96,0,42.17,0,0,0,0,0,52.67,0,15.83,86.5,0,80,52.83,76.34,0,55.84,28.83,53.84,92.28,0
